transaction_type,transaction_id,item,farmer_id,ingredient
food_expenses,ing_205475,Capers,356285775,Capers
food_expenses,ing_205476,Agnello Farms Patty,5352354398,Agnello Farms Patty
food_expenses,ing_205477,Cheddar,5352354398,Cheddar
food_expenses,ing_205478,Avocado,7421656618,Avocado
food_expenses,ing_205479,Almonds,5604808898,Almonds
food_expenses,ing_205480,Ham,6146407633,Ham
food_expenses,ing_205481,Sausage,6146407633,Sausage
food_expenses,ing_205482,Potatoes,831885188,Potatoes
food_expenses,ing_205483,Ricotta,6410418548,Ricotta
food_expenses,ing_205484,Straus Whole Milk Yogurt,6453973484,Straus Whole Milk Yogurt
food_expenses,ing_205485,Almond Milk,6410418548,Almond Milk
food_expenses,ing_205486,Shittake Mushrooms,3572294229,Shittake Mushrooms
food_expenses,ing_205487,Vanilla Mascarpone Cream,4188003859,Vanilla Mascarpone Cream
food_expenses,ing_205488,Acme Bun,6064610803,Acme Bun
food_expenses,ing_205489,Equator Drip Coffee,337070018,Equator Drip Coffee
food_expenses,ing_205490,Five Mountains Organic Tea,2028216955,Five Mountains Organic Tea
food_expenses,ing_205491,Raspberries,9196837229,Raspberries
food_expenses,ing_205492,Brioche,798083660,Brioche
food_expenses,ing_205493,Garlic,798083660,Garlic
